"RA1"	"RA2"	"RA3"	"RA4"	"RA5"	"RA6"	"RA7"	"RA8"	"RA9"	"RA10"	"RA11"	"RA12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"PTPN6"	1079.0482310867	352.813274897901	914.07925856369	1364.76473354096	561.619108851683	789.327954345553	1855.84038450093	1215.57567581255	798.540153407804	600.62703218967	821.861508942064	1145.70704087062	506.524693285183	711.457600586104	243.058508251729	796.146559338723	388.211161751511	920.700009570914	973.343967996538	755.794486695569	790.096307673022
"LCP2"	599.837325566028	430.684522465686	1086.86435817753	861.363960351127	310.715454303419	1081.13533609397	1585.38864708255	1873.1578941902	1242.34123397268	470.786543039931	1143.74986594794	1380.38254792912	770.106218700711	460.603468677077	379.525570234854	905.302335364121	732.389308497784	475.07427052598	801.240432622747	814.917542373539	1040.45073001035
"LILRB2"	400.635529606443	253.598833124858	497.148619060063	524.453125374111	158.757762697248	336.550784930281	243.2835665796	377.600579093895	510.769627120265	346.376182169807	516.927358405582	599.248625565049	261.196108761852	207.645956916359	123.426059267048	803.237692567676	320.029957283966	191.915349075302	182.418915400668	218.53975646347	184.132982935939
"MICB"	457.583786187203	558.496059469747	589.076472985625	499.478258817544	134.453938198857	289.084665530397	261.852514738116	208.555499781843	379.248250056423	417.461356679587	326.651376236256	401.891690848606	243.89527075381	302.811717820251	209.427371101	205.725390839088	170.438680760338	185.270072466354	332.302039672912	195.034428256193	401.187146670396
"PLCB4"	102.954040582665	303.183929245217	85.2418814986715	59.4044373198633	604.125559671899	102.545220003278	138.553301685116	112.278764577617	132.707231626949	388.332122918273	77.6097127575719	99.6100179692393	101.037291959649	111.81816669509	167.948425896314	36.9137145840533	87.5621324281107	232.436226211431	110.805669214699	124.575717451672	101.718693473029
"CSF1R"	3061.77695992045	1917.71123699325	5678.3178554044	4469.04285529565	2052.27079555071	3704.23401772227	3969.26775238942	4548.79479553824	4700.54061886917	3224.71457184955	4277.64956380705	3787.276629929	2041.38414636924	3119.93384294726	1383.10881984384	981.347087431592	1367.69632400864	2674.5710235683	3366.43358352185	3386.09990098151	3208.52586708643
"CYBA"	3134.44273642072	1518.14961115636	2972.67610201038	4094.42196005804	1394.70531423585	3644.68108855705	5213.55858895418	4077.14998251406	4206.41808324303	1717.76379407331	5074.82952577466	3208.13532898342	1768.38811033402	3221.43241567211	1136.22262027035	1936.04672053313	1930.63841794506	2397.33475756838	2116.22779896734	1899.24147813371	2482.09845323643
"TNFSF11"	68.9863878444502	99.5394616982838	180.91491495542	173.871130087123	68.6754251411006	287.014970403114	151.357050865668	79.0071101998304	56.0968169083998	354.15398841822	110.643681028394	248.255445821502	358.279090435259	50.6928076470609	33.6407718763194	26.5517697371058	31.0970867942502	295.483484268391	31.4907551927299	40.6798564530944	6.42627413244418
"SYK"	724.972444494107	393.721477472509	889.048095789203	1199.1441254976	481.325567394742	1021.45387595348	692.408373078029	1527.72937129637	1249.64447466973	459.841423554007	949.901923488927	1319.36675571481	328.006495569353	832.406015614043	119.003351934931	447.352297589998	332.300512359476	577.011771636532	684.419229820417	871.172709676153	779.831802328849
"FCGR2C"	1002.74134805611	1908.44885551543	1518.94783596017	1761.97291157371	937.227657308576	2555.16512803599	1889.80432981727	5158.96854114094	1905.58673059951	1687.46666458494	3756.75929394373	5743.9878185387	997.268283902002	1747.46058506047	882.183891542663	1415.07359278054	2099.07046915405	1012.07754660603	1493.46795336824	1288.40118504105	2397.19225171874
